ISBN	ARK_TITLE	ARK_PRICE	ARK_URL	NORLI_TITLE	NORLI_PRICE	NORLI_URL	ADLIBRIS_TITLE	ADLIBRIS_PRICE	ADLIBRIS_URL	TIMESTAMP
9788203394942	Mona skal ikke på audition!	227	https://www.ark.no/produkt/boker/barneboker/mona-skal-ikke-pa-audition-9788203394942	Mona skal ikke på audition!	99	https://www.norli.no/boker/barneboker/fra-6-ar/flow-2-mona-og-freestylefiendene	Mona skal ikke på audition!	227	https://www.adlibris.com/no/bok/mona-skal-ikke-pa-audition-9788203394942	2024-11-13 00:22:29
9788202794705	En liten bok om promp	209	https://www.ark.no/produkt/boker/barneboker/en-liten-bok-om-promp-9788202794705	En liten bok om promp	209	https://www.norli.no/boker/barneboker/fra-6-ar/en-liten-bok-om-promp	En liten bok om promp	209	https://www.adlibris.com/no/bok/en-liten-bok-om-promp-9788202794705	2024-11-13 00:23:59
9788202620707	Verdens søteste	181	https://www.ark.no/produkt/boker/barneboker/verdens-soteste-9788202620707	Verdens søteste	181	https://www.norli.no/boker/barneboker/fra-6-ar/verdens-soteste	Verdens søteste	181	https://www.adlibris.com/no/bok/verdens-soteste-9788202620707	2024-11-13 00:33:27
9788203378522	Gepardgåten	227	https://www.ark.no/produkt/boker/barneboker/gepardgaten-9788203378522	Gepardgåten	227	https://www.norli.no/boker/barneboker/fra-6-ar/gepardgaten	Gepardgåten	227	https://www.adlibris.com/no/bok/gepardgaten-9788203378522	2024-11-13 00:11:16
9788202756895	Søt og farlig	172	https://www.ark.no/produkt/boker/barneboker/sot-og-farlig-9788202756895	Søt og farlig	172	https://www.norli.no/boker/barneboker/fra-4-ar/sot-og-farlig	Søt og farlig	172	https://www.adlibris.com/no/bok/sot-og-farlig-9788202756895	2024-11-13 00:11:46
9788202714451	Rare valper	172	https://www.ark.no/produkt/boker/barneboker/rare-valper-9788202714451	Rare valper	172	https://www.norli.no/boker/barneboker/fra-4-ar/rare-valper	Rare valper	172	https://www.adlibris.com/no/bok/rare-valper-9788202714451	2024-11-13 00:18:16
9788205520417	Flukten til verdens ende	209	https://www.ark.no/produkt/boker/barneboker/flukten-til-verdens-ende-9788205520417	Flukten til verdens ende	99	https://www.norli.no/boker/barneboker/fra-8-ar/flukten-til-verdens-ende	Agent Elvin Griff; Flukten til verdens ende	209	https://www.adlibris.com/no/bok/agent-elvin-griff-flukten-til-verdens-ende-9788205520417	2024-11-13 00:22:39
9788202733063	Mørket faller	272	https://www.ark.no/produkt/boker/skjonnlitteratur/morket-faller-9788202733063	Mørket faller	272	https://www.norli.no/boker/barneboker/fra-10-ar/morket-faller-1	Mørket faller	273	https://www.adlibris.com/no/bok/morket-faller-9788202733063	2024-11-13 00:31:16
9780702333705	Diary of a Roblox Pro #7: Cash Splash	119	https://www.ark.no/produkt/boker/barneboker/diary-of-a-roblox-pro-7-cash-splash-9780702333705	Diary of a Roblox Pro #7: Cash Splash	129	https://www.norli.no/boker/barneboker/fra-6-ar/diary-of-a-roblox-pro-7-cash-splash	Diary of a Roblox Pro #7: Cash Splash	105	https://www.adlibris.com/no/bok/diary-of-a-roblox-pro-7-cash-splash-9780702333705	2024-11-13 00:39:12
9788283731514	Barske bøller i verdensrommet	227	https://www.ark.no/produkt/boker/barneboker/barske-boller-i-verdensrommet-9788283731514	Barske bøller i verdensrommet	227	https://www.norli.no/boker/barneboker/fra-8-ar/barske-boller-i-verdensrommet	Barske bøller i verdensrommet	227	https://www.adlibris.com/no/bok/barske-boller-i-verdensrommet-9788283731514	2024-11-13 00:24:50
9788284010786	Dragon ball super - 2 : Seiersuniverset!!	117	https://www.ark.no/produkt/boker/barneboker/dragon-ball-super-9788284010786	Dragon ball super - 2 : Seiersuniverset!!	118	https://www.norli.no/boker/humor-og-tegneserier/tegneserier/manga/seiersuniverset	Dragon ball super	118	https://www.adlibris.com/no/bok/dragon-ball-super-9788284010786	2024-11-13 00:33:17
9788205551022	Flukten til undervannsbyen	209	https://www.ark.no/produkt/boker/barneboker/flukten-til-undervannsbyen-9788205551022	Flukten til undervannsbyen	209	https://www.norli.no/boker/barneboker/fra-8-ar/flukten-til-undervannsbyen	Flukten til undervannsbyen	209	https://www.adlibris.com/no/bok/flukten-til-undervannsbyen-9788205551022	2024-11-13 00:36:40
9788242970947	Håpet	300	https://www.ark.no/produkt/boker/barneboker/hapet-9788242970947	Håpet	300	https://www.norli.no/boker/barneboker/fra-8-ar/hapet-3	Håpet; Arkin - lysets vokter 2	300	https://www.adlibris.com/no/bok/hapet-arkin---lysets-vokter-2-9788242970947	2024-11-13 00:23:39
9781786068866	Old Title	129	https://www.ark.no/produkt/boker/barneboker/old-title-9781786068866	Old Title	129	https://www.norli.no/boker/barneboker/fakta/kane-ultimate-football-heroes-the-no-1-football-series-collect-them-all-1	Kane (Ultimate Football Heroes - the No. 1 football series) Collect them all!	141	https://www.adlibris.com/no/bok/kane-ultimate-football-heroes---the-no-1-football-series-collect-them-all-9781786068866	2024-11-13 00:38:02
9780241389317	-	0	-	The meltdown	149	https://www.norli.no/boker/barneboker/fra-10-ar/the-meltdown-3	Diary of a Wimpy Kid: The Meltdown (book 13)	119	https://www.adlibris.com/no/bok/diary-of-a-wimpy-kid-the-meltdown-book-13-9780241389317	2024-11-13 00:09:16
9788248915386	Nedtegnelser fra en kul TV-stjerne - NOT!	272	https://www.ark.no/produkt/boker/barneboker/nedtegnelser-fra-en-kul-tv-stjerne-not-9788248915386	Nedtegnelser fra en kul TV-stjerne - NOT!	272	https://www.norli.no/boker/barneboker/fra-10-ar/nedtegnelser-fra-en-kul-tv-stjerne-not	Nedtegnelser fra en kul TV-stjerne - NOT!	273	https://www.adlibris.com/no/bok/nedtegnelser-fra-en-kul-tv-stjerne---not-9788248915386	2024-11-13 00:09:37
9788241953156	Hundemannen håver inn	272	https://www.ark.no/produkt/boker/barneboker/hundemannen-haver-inn-9788241953156	Hundemannen håver inn	272	https://www.norli.no/boker/barneboker/fra-8-ar/hundemannen-haver-inn	Hundemannen håver inn	273	https://www.adlibris.com/no/bok/hundemannen-haver-inn-9788241953156	2024-11-13 00:30:05
